PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,INSTRS,CYCLES,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
371,lsd,0.0,00:06.59,3,2,469,5186K,0B,1456K,371,1,sleeping,*0[18723+],0.00000,0.01753,502,5966,464,148316+,24564+,180851+,162958+,91948+,413,0,0.0,412710,524462,dakota,N/A,N/A,N/A,N/A,N/A,N/A
394,com.apple.hiserv,0.0,00:02.23,2,1,83-,2529K-,0B,832K,394,1,sleeping,*0[10666+],0.00000,0.00000,502,1386+,55,43224+,21356+,55863+,43980+,41994+,0,0,0.0,341218,486797,dakota,N/A,N/A,N/A,N/A,N/A,N/A
5757,Electron,0.0,00:30.38,18,1,99,285M,0B,740M,410,410,sleeping,*0[1],0.00000,0.00000,502,173532,765,157319+,78326+,432484+,80613+,150119+,50,31,0.0,66181,418530,dakota,N/A,N/A,N/A,N/A,N/A,N/A
130,bluetoothd,0.0,00:04.78,3,1,152,4786K,0B,2000K,130,1,sleeping,*0[1],0.00000,0.00000,0,2114,94,89901+,35842,168932+,276905+,97262+,332,1,0.0,164204,419611,root,N/A,N/A,N/A,N/A,N/A,N/A
1532,amsengagementd,0.0,00:01.24,4,2,93,14M,0B,12M,1532,1,sleeping,*1[17],0.00000,0.00000,502,11054,777,2650+,459,32438+,9034+,16656+,480,1,0.0,117279,399265,dakota,N/A,N/A,N/A,N/A,N/A,N/A
449,sharingd,0.0,00:05.01,3,1,237,40M,0B,32M,449,1,sleeping,*0[1],0.00000,0.00000,502,9644,240,74481+,22877,166074+,263793+,98586+,858,0,0.0,177257,350929,dakota,N/A,N/A,N/A,N/A,N/A,N/A
1635,storagekitd,0.0,00:08.04,7,3,70,6449K,0B,4704K,1635,1,sleeping,0[599],0.00000,0.00000,0,15059,81,192850+,53343,194310+,287031+,184071+,69,3,0.0,177786,290793,root,N/A,N/A,N/A,N/A,N/A,N/A
107,thermalmonitord,0.0,00:02.86,2,1,45,2065K,0B,976K,107,1,sleeping,*0[1],0.00000,0.00000,0,468,67,49075+,24524+,49728+,171428+,53100+,69,10,0.0,88963,286852,root,N/A,N/A,N/A,N/A,N/A,N/A
490,gamecontrollerd,0.0,00:44.43,3,2,89,3889K,0B,1232K,490,1,sleeping,*0[138291+],0.00000,0.00000,247,9934,81,638604+,476707+,1478098+,1400050+,1674192+,73,1,0.0,173020,267606,_gamecontrollerd,N/A,N/A,N/A,N/A,N/A,N/A
468,SafariBookmarksS,0.0,00:03.46,6,4,70,6546K,0B,2304K,468,1,sleeping,*0[1],0.00000,0.00000,502,3204,115,26167+,1220,180266+,97070+,137900+,42,9,0.0,100657,224082,dakota,N/A,N/A,N/A,N/A,N/A,N/A
98,mds,0.0,00:39.84,8,5,277,47M,0B,24M,98,1,sleeping,*0[1],0.00000,0.00000,0,159036,131,177129,41470,1953911+,183536,764758+,322,12,0.0,95004,213784,root,N/A,N/A,N/A,N/A,N/A,N/A
81,configd,0.0,00:08.97,9,3,454,5922K,0B,2448K,81,1,sleeping,*0[1],0.00000,0.00000,0,93890,138,303215,86998,421731+,370505,132674+,424,0,0.0,106241,155776,root,N/A,N/A,N/A,N/A,N/A,N/A
425,ViewBridgeAuxili,0.0,00:02.66,2,1,258,4433K,0B,1552K,425,1,sleeping,*0[15496+],0.00000,0.00000,502,8823,85,96041+,28452+,71557+,172197+,64511+,2,0,0.0,85134,152842,dakota,N/A,N/A,N/A,N/A,N/A,N/A
134,AirPlayXPCHelper,0.0,00:03.10,5,1,173,4594K,0B,2448K,134,1,sleeping,*0[1],0.00000,0.00000,0,5413,96,187188+,93097+,48313+,154033+,78338+,571,8,0.0,81331,150206,root,N/A,N/A,N/A,N/A,N/A,N/A
254,ViewBridgeAuxili,0.0,00:01.02,2,1,67,3409K,0B,1872K,254,1,sleeping,*0[11380+],0.00000,0.00000,0,1836,82,47739+,11712+,24086+,103431+,31867+,23,0,0.0,83475,138096,root,N/A,N/A,N/A,N/A,N/A,N/A
798,com.apple.WebKit,0.0,01:01.71,10,1,166,305M,38M,46M,798,1,sleeping,0[31291],0.00000,0.00000,502,80290,198,333777+,178229+,596152,1088997+,478598+,138,7,0.0,44686,133463,dakota,N/A,N/A,N/A,N/A,N/A,N/A
230,mDNSResponderHel,0.0,00:00.79,3,1,36,2641K,0B,2128K,230,1,sleeping,*0[1],0.00000,0.00000,0,700,64,49291+,24650+,26464+,25388+,27089+,1,6,0.0,14261,98241,root,N/A,N/A,N/A,N/A,N/A,N/A
297,softwareupdated,0.0,00:01.32,4,1,136,13M,0B,11M,297,1,sleeping,0[69],0.00000,0.00000,200,6826,145,3078,912,25866+,4968,10477+,386,0,0.0,35556,84308,_softwareupdate,N/A,N/A,N/A,N/A,N/A,N/A
1944,iCloudNotificati,0.0,00:00.28,4,1,92,6962K,0B,5552K,1944,1,sleeping,0[10],0.00000,0.00000,502,2961,118,732,223,8571+,1402,3399+,60,0,0.0,43699,79567,dakota,N/A,N/A,N/A,N/A,N/A,N/A
1531,lskdd,0.0,00:00.17,2,0,31,2417K,0B,2032K,1531,1,sleeping,*1[1],0.00000,0.00000,265,539,56,7982+,3981+,4449+,4134+,4543+,133,0,0.0,14763,80320,_fpsd,N/A,N/A,N/A,N/A,N/A,N/A
117,locationd,0.0,00:01.65,3,2,189,6658K,0B,2896K,117,1,sleeping,0[1353],0.00000,0.00000,205,4974,114,11736,4290,76757+,17325,46418+,473,0,0.0,46252,73047,_locationd,N/A,N/A,N/A,N/A,N/A,N/A
1499,mapspushd,0.0,00:00.54,2,1,89,5426K,0B,3040K,1499,1,sleeping,0[569],0.00000,0.00000,502,3691,126,3024,981,16325+,6008,8249+,34,0,0.0,35880,58142,dakota,N/A,N/A,N/A,N/A,N/A,N/A
281,com.apple.hiserv,0.0,00:00.41,2,1,33,1825K,0B,864K,281,1,sleeping,0[2],0.00000,0.00000,0,550,55,257,10670+,11273+,673,18463+,6,0,0.0,29590,57271,root,N/A,N/A,N/A,N/A,N/A,N/A
472,passd,0.0,00:00.70,2,1,144,9122K,0B,7312K,472,1,sleeping,0[37],0.00000,0.00000,502,5036,184,2960,1147,18140+,5044,7952+,597,0,0.0,26752,50473,dakota,N/A,N/A,N/A,N/A,N/A,N/A
223,mobileassetd,0.0,00:16.00,3,1,129,9778K,0B,5792K,223,1,sleeping,0[215],0.00000,0.00000,0,10402,110,7026,1736,63076+,8576,43232+,104,1,0.0,29579,41318,root,N/A,N/A,N/A,N/A,N/A,N/A
8184,mdworker_shared,0.0,00:00.05,3,1,48,2657K,0B,0B,8184,1,sleeping,*0[1],0.00000,0.00000,502,1008,77,514,220,811,501,241,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
8182,mdworker_shared,0.0,00:00.06,3,1,48,2577K,0B,0B,8182,1,sleeping,*0[1],0.00000,0.00000,502,1130,77,566,238,978,581,296,18,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
8131,com.apple.iCloud,0.0,00:00.26,2,1,51,4673K,0B,0B,8131,1,sleeping,0[19],0.00000,0.00000,502,929,75,525,151,4768,1090,1406,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
